기업코드,기업명,종목코드,종합점수,점수갱신일
00260985,한빛네트,036720,0,0
00264529,엔플렉스,040130,0,0
00358545,동서정보기술,055000,0,0
00231567,애드모바일,032600,0,0
00247939,씨모스,037600,0,0
00359614,리더컴,056140,0,0
00153551,허메스홀딩스,012400,0,0
00344746,유티엑스,045880,0,0
00261188,글로포스트,037830,0,0
00268020,쏠라엔텍,030390,0,0
00269287,보홍,041320,0,0
00475286,동북아1호선박투자회사,078420,0,0
00250775,에듀아크,046350,0,0
00114321,데코,013650,0,0
00191108,엘앤씨피,015390,0,0
00167378,희훈디앤지,019640,0,0
00225210,퓨쳐인포넷,058690,0,0
00223346,쓰리디넷,035400,0,0
00174129,제일저축은행,024100,0,0
00114826,제일창업투자,026540,0,0
00173333,현대DSF,016510,0,0
00687599,네프로아이티,950030,0,0
00256292,자강,036790,0,0
00271431,케이엠에스,038830,0,0
00154727,에버리소스,020070,0,0
00246189,제이에스,037110,0,0
00154204,태창기업,007490,0,0
00152631,에이치비이에너지,017300,0,0
00107923,남한제지,001950,0,0
00358095,코어비트,056850,0,0
00510215,동북아8호선박투자회사,082110,0,0
00347619,한국통신데이타,045760,0,0
00372013,케너텍,062730,0,0
00353735,다휘,055250,0,0
00186540,코오롱아이넷,022520,0,0
00128759,캠브리지코오롱,004620,0,0
00535588,네오세미테크,089240,0,0
00264981,디에이치패션,045260,0,0
00231521,핸디소프트,032380,0,0
00159908,케이엠에이치,009690,0,0
00259493,씨엘엘씨디,035710,0,0
00359641,현대푸드시스템,114410,0,0
00103325,고제,002540,0,0
00161639,메리츠종합금융,012420,0,0
00211271,제넥셀세인,034660,0,0
00388272,쓰리디월드,065340,0,0
00264796,스톰이앤에프,043680,0,0
00134909,소예,035010,0,0
00236368,엠엔에프씨,048640,0,0
00684547,하이트맥주,103150,0,0
00251385,보광티에스,066690,0,0
00262682,아인스엠앤엠,040740,0,0
00234555,씨엔씨엔터프라이즈,038420,0,0
00507257,아이알디,084810,0,0
00417963,바이나믹,067850,0,0
00543523,코크렙제7호위탁관리부동산투자회사,086720,0,0
00300566,엔빅스,054170,0,0
00299376,선팩테크,054010,0,0
00112068,마이크로닉스,001190,0,0
00257194,블루스톤디앤아이,033720,0,0
00477372,신지소프트,078700,0,0
00465410,맥쿼리센트럴오피스기업구조조정부동산투자회사,076850,0,0
00331760,테스텍,048510,0,0
00200761,중앙디자인,030030,0,0
00268297,에코페트로시스템,042870,0,0
00161301,한림창업투자,021060,0,0
00237260,헤쎄나,036270,0,0
00297970,미래에셋굿라이프혼합형자녀를위한투자회사10-1,037510,0,0
00107358,일공공일안경콘택트,032030,0,0
00115427,신동방CP,004660,0,0
00267474,지앤알,043630,0,0
00134051,셀런,013240,0,0
00596066,한국베트남15-1유전해외자원개발투자회사,093820,0,0
00347363,에이치원바이오,052310,0,0
00150226,씨앤중공업,008400,0,0
00152914,FnC코오롱,001370,0,0
00158839,제너비오믹스,017010,0,0
00159281,케드콤,011050,0,0
00210537,지엔텍홀딩스,065410,0,0
00240370,동부씨엔아이,044640,0,0
00247887,아이피에스,051820,0,0
00268358,에스브이에이치,046240,0,0
00316488,제이콤,060750,0,0
00264130,옥션,043790,0,0
00540304,네이쳐글로벌,088020,0,0
00617299,GB블루오션베트남주식혼합형투자회사1호,094950,0,0
00262275,엠씨티티코어,052210,0,0
00200798,에이스앤파트너스,032930,0,0
00335924,지앤디윈텍,061050,0,0
00111591,인터피온반도체,014010,0,0
00189343,솔로몬저축은행,007800,0,0
00252588,엠트론스토리지테크놀로지,046320,0,0
00267997,에스티앤아이,031800,0,0
00367376,사이노젠,064060,0,0
00299686,유퍼트,060670,0,0
00463050,엑스로드,074140,0,0
00238913,선우중공업,068770,0,0
00107446,남양,003020,0,0
00114303,엘지데이콤,015940,0,0
00318617,LG파워콤,045820,0,0
00267775,동산진흥,031960,0,0
00394574,티이씨,067950,0,0
00110176,한국기술산업,008320,0,0
00349787,지케이파워,054020,0,0
00136554,스타맥스,017050,0,0
00144562,유성티에스아이,024870,0,0
00370547,네오리소스,058550,0,0
00242439,케이알,035950,0,0
00134060,씨앤상선,000790,0,0
00392600,투미비티,058900,0,0
00259855,코아정보시스템,039990,0,0
00385451,케이에스리소스,066340,0,0
00258944,세계투어,047600,0,0
00798530,동양밸류오션기업인수목적,122290,0,0
00451268,케이이엔지,077960,0,0
00336570,사이버패스,063280,0,0
00363325,산양전기,079870,0,0
00148188,으뜸상호저축은행,032150,0,0
00508566,국제개발,080570,0,0
00133928,세신,004230,0,0
00540784,골든브릿지더블유엠경매부동산일호투자회사,084160,0,0
00298252,엘앤피아너스,061140,0,0
00264556,에이스일렉트로닉스,038690,0,0
00581000,디앤샵,090090,0,0
00359094,더체인지,054120,0,0
00686970,다산자기관리부동산투자회사,105380,0,0
00255309,써니트렌드,035500,0,0
00362380,뉴젠비아이티,054650,0,0
00244862,룩소네이트,033880,0,0
00301015,한서제약,044070,0,0
00297165,현대오토넷,042100,0,0
00105767,LG마이크론,016990,0,0
00173397,서광건설산업,001600,0,0
00259606,플러스프로핏,036660,0,0
00178471,한와이어리스,037020,0,0
00331733,포휴먼,049690,0,0
00104892,알이네트웍스,023670,0,0
00647917,케이알제2호개발전문위탁관리부동산투자회사,101790,0,0
